"Name","year","category_name","Link","Pieces","Set","price_link","Times_Sold","Total_Qty","Min_Price","Avg_Price","Qty_Avg_Price","Max_Price"
"Mickey's Fire Engine","2000","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4164-1",26," Disney: Mickey Mouse","http://www.bricklink.com/catalogPG.asp?S=4164-1&ColorID=0","1","1","GBP 8.36","GBP 8.36","GBP 8.36","GBP 8.36"
"Minnie's Birthday","2000","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4165-1",83," Disney: Mickey Mouse","http://www.bricklink.com/catalogPG.asp?S=4165-1&ColorID=0","2","2","GBP 29.91","GBP 32.36","GBP 32.36","GBP 34.81"
"Mickey's Car Garage","2000","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4166-1",89," Disney: Mickey Mouse","http://www.bricklink.com/catalogPG.asp?S=4166-1&ColorID=0","1","1","GBP 20.80","GBP 20.80","GBP 20.80","GBP 20.80"
"Mickey's Fishing Adventure","2000","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4178-1",105," Disney: Mickey Mouse","http://www.bricklink.com/catalogPG.asp?S=4178-1&ColorID=0","1","1","GBP 36.53","GBP 36.53","GBP 36.53","GBP 36.53"
"Rapunzel's Market Visit polybag","2014","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30116-1",30," Disney: Disney Princess: Tangled","http://www.bricklink.com/catalogPG.asp?S=30116-1&ColorID=0","21","142","GBP 2.35","GBP 4.26","GBP 4.44","GBP 6.42"
"Cinderella's Kitchen polybag","2017","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30551-1",33," Disney: Disney Princess: Cinderella","http://www.bricklink.com/catalogPG.asp?S=30551-1&ColorID=0","9","16","ROL 29.61","ROL 38.11","ROL 38.29","ROL 53.52"
"Ariel's Amazing Treasures","2014","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41050-1",73," Disney: Disney Princess: The Little Mermaid","http://www.bricklink.com/catalogPG.asp?S=41050-1&ColorID=0","5","7","ROL 99.45","ROL 120.34","ROL 118.42","ROL 132.09"
"Merida's Highland Games","2014","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41051-1",141," Disney: Disney Princess: Brave","http://www.bricklink.com/catalogPG.asp?S=41051-1&ColorID=0","2","2","ROL 284.76","ROL 302.85","ROL 302.85","ROL 320.95"
"Ariel's Magical Kiss","2014","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41052-1",241," Disney: Disney Princess: The Little Mermaid","http://www.bricklink.com/catalogPG.asp?S=41052-1&ColorID=0","4","4","GBP 24.43","GBP 32.06","GBP 32.06","GBP 40.64"
"Cinderella's Dream Carriage","2014","Disney","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41053-1",270," Disney: Disney Princess: Cinderella","http://www.bricklink.com/catalogPG.asp?S=41053-1&ColorID=0","3","5","GBP 24.10","GBP 26.42","GBP 26.63","GBP 28.20"
