"Name","year","category_name","Link","Pieces","Set","price_link","Times_Sold","Total_Qty","Min_Price","Avg_Price","Qty_Avg_Price","Max_Price"
"Sorting Hat","2001","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4701-1",44," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4701-1&ColorID=0","1","1","US $67.54","US $67.54","US $67.54","US $67.54"
"The Final Challenge","2001","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4702-1",52," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4702-1&ColorID=0","3","4","US $55.00","US $68.33","US $70.00","US $75.00"
"The Chamber of the Winged Keys","2001","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4704-1",163," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4704-1&ColorID=0","3","3","US $35.75","US $55.80","US $55.80","US $68.00"
"Snape's Class","2001","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4705-1",153," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4705-1&ColorID=0","1","1","US $65.00","US $65.00","US $65.00","US $65.00"
"Forbidden Corridor","2001","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4706-1",226," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4706-1&ColorID=0","8","8","US $64.00","US $99.88","US $99.88","US $180.00"
"Hagrid's Hut {1st edition}","2001","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4707-1",288," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4707-1&ColorID=0","4","4","US $52.25","US $94.37","US $94.37","US $127.50"
"Hogwarts Express {1st edition}","2001","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4708-1",400," Harry Potter: Sorcerer's Stone: Train: 9V","http://www.bricklink.com/catalogPG.asp?S=4708-1&ColorID=0","5","6","US $74.25","US $130.46","US $133.78","US $177.19"
"Hogwarts Castle {1st edition}","2001","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4709-1",647," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4709-1&ColorID=0","2","4","US $299.64","US $339.32","US $319.48","US $379.00"
"Flying Lesson","2002","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4711-1",14," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4711-1&ColorID=0","4","4","US $30.03","US $32.00","US $32.00","US $35.00"
"Troll on the Loose","2002","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4712-1",63," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4712-1&ColorID=0","1","2","US $80.00","US $80.00","US $80.00","US $80.00"
"Gringott's Bank","2002","Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4714-1",238," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=4714-1&ColorID=0","3","4","US $120.00","US $148.33","US $141.25","US $175.00"
