"name","year","category_name","link","pieces","set","price_link","times_sold","total_qty","min_price","avg_price","qty_avg_price","max_price"
"Hogwarts Castle",2018,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71043-1",5975," Harry Potter: Sculptures","http://www.bricklink.com/catalogPG.asp?S=71043-1&ColorID=0","58","61",29.96,313.92,315.05,432.19
"Diagon Alley",2011,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75978-1",5475," Harry Potter","http://www.bricklink.com/catalogPG.asp?S=75978-1&ColorID=0","20","20",260.18,370.13,370.13,419.99
"Diagon Alley",2011,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10217-1",1977," Harry Potter","http://www.bricklink.com/catalogPG.asp?S=10217-1&ColorID=0","2","3",266.99,302.49,314.33,338
"Hogwarts Castle {4th edition}",2010,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4842-1",1234," Harry Potter","http://www.bricklink.com/catalogPG.asp?S=4842-1&ColorID=0","3","3",186.08,283.07,283.07,431.57
"Attack on the Burrow",2020,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75980-1",1015," Harry Potter: Half-Blood Prince","http://www.bricklink.com/catalogPG.asp?S=75980-1&ColorID=0","64","103",71.14,100.47,103.48,127.83
"Hogwarts Astronomy Tower",2020,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75969-1",938," Harry Potter: Half-Blood Prince","http://www.bricklink.com/catalogPG.asp?S=75969-1&ColorID=0","46","52",52.09,71.2,71.23,136.59
"Hogwarts Castle {3rd edition}",2007,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=5378-1",905," Harry Potter: Order of the Phoenix","http://www.bricklink.com/catalogPG.asp?S=5378-1&ColorID=0","1","1",302.48,302.48,302.48,302.48
"Hogwarts Clock Tower",2019,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75948-1",888," Harry Potter: Goblet of Fire","http://www.bricklink.com/catalogPG.asp?S=75948-1&ColorID=0","68","116",45.16,61.16,64.3,84
"Hogwarts Castle {2nd edition}",2004,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4757-1",887," Harry Potter: Prisoner of Azkaban","http://www.bricklink.com/catalogPG.asp?S=4757-1&ColorID=0","8","8",107.88,162.44,162.44,232.15
"Hogwarts Great Hall",2018,"Harry Potter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75954-1",835," Harry Potter: Sorcerer's Stone","http://www.bricklink.com/catalogPG.asp?S=75954-1&ColorID=0","69","118",66.77,91.34,91.25,124.12
