"Title","Price","PieceCount","Franchise"
"Castillo de Bella y Bestia",279.99,2916,"Disney"
"Castillo Disney",399.99,4837,"Disney"
"Heihei",39.99,566,"Disney"
"Casa en la Playa de Lilo y Stitch",89.99,834,"Disney"
"Trajes de Maléfica y Cruella De Vil",69.99,524,"Disney"
"Dumbo",9.99,176,"Disney"
"Cabaña de Blancanieves y los Siete Enanitos",219.99,2228,"Disney"
"Casa de “Up”",54.99,598,"Disney"
"Barcaza de los Kakamora",99.99,572,"Disney"
"Cámara en Homenaje a Walt Disney",99.99,811,"Disney"
"Traje de Cenicienta",39.99,474,"Disney"
"El Rey León: Simba Cachorro",19.99,222,"Disney"
"Stitch",64.99,730,"Disney"
"Ígor",9.99,156,"Disney"
"Magia Disney",99.99,1103,"Disney"
"Mini Castillo Disney",39.99,567,"Disney"
"Diversión en la Isla con Vaiana",19.99,175,"Disney"
"Canoa de Aventuras de Vaiana",59.99,529,"Disney"
"El Rey León: Simba Joven",129.99,1445,"Disney"
"Disney Tim Burton: Pesadilla antes de Navidad",199.99,2193,"Disney"
"Mini Castillo de Disney Ariel",39.99,557,"Disney"
"Ariel Bailarina",9.99,93,"Disney"
"LEGO® | Disney Calendario de Adviento 2024",34.99,253,"Disney"
"Alegría, Tristeza y Ansiedad",19.99,300,"Disney"
"Mini Castillo Disney de la Bella Durmiente",39.99,528,"Disney"
"EVA y WALL•E",14.99,155,"Disney"
"Mini Casa de Encanto",19.99,186,"Disney"
"Carl, Russell y Kevin",19.99,308,"Disney"
"Stitch",9.99,152,"Disney"
"Inside Out 2 Mood Cubes",34.99,394,"Disney"
"Mágica Casa Madrigal",159.99,1560,"Disney"
"Disney El Retorno de las Brujas: Cabaña de las Hermanas Sanderson",229.99,2316,"Disney"
"Casa y Coche de Mickey Mouse",19.99,27,"Disney"
"Fiesta de Cumpleaños de Winnie the Pooh",19.99,22,"Disney"
"Palacio de Hielo de Elsa",99.99,630,"Disney"
"Aventura en Trineo de Anna",39.99,192,"Disney"
"Joyero de Blancanieves",44.99,358,"Disney"
"Castillo y Carroza de Cenicienta",79.99,596,"Disney"
"Maceta de Vaiana",44.99,619,"Disney"
"Castillo Helado de Arendelle",29.99,177,"Disney"
"Maceta de Isabela",44.99,641,"Disney"
"Aventura en el Mercado de las Princesas Disney",99.99,817,"Disney"
"Castillo Helado de Elsa",44.99,163,"Disney"
"Maléfica en Forma de Dragón",69.99,583,"Disney"
"Mack en las Carreras",19.99,14,"Disney"
"Tren de Cumpleaños de Mickey y Minnie",34.99,22,"Disney"
"Cuentos e Historias: Peter Pan y Wendy",19.99,111,"Disney"
"Escenario Musical de Ariel",15.99,60,"Disney"
"Gruta de Cristal de Ariel",29.99,141,"Disney"
"Cafetería de Ariel y Flounder",19.99,22,"Disney"
"Elsa y Bruni en el Bosque Encantado",32.99,31,"Disney"
