"Name","year","category_name","Link","Pieces","Set","price_link","Times_Sold","Total_Qty","Min_Price","Avg_Price","Qty_Avg_Price","Max_Price"
"Super Mushroom Surprise - Expansion Set polybag","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30385-1",10," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=30385-1&ColorID=0","90","353","GBP 1.40","GBP 3.05","GBP 2.85","GBP 8.26"
"Monty Mole & Super Mushroom - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40414-1",99," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=40414-1&ColorID=0","9","9","GBP 28.00","GBP 32.41","GBP 32.41","GBP 41.60"
"Adventures with Mario - Starter Course","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71360-1",179," Super Mario: Super Mario Starter Course","http://www.bricklink.com/catalogPG.asp?S=71360-1&ColorID=0","24","43","GBP 21.74","GBP 27.11","GBP 28.65","GBP 34.10"
"Guarded Fortress - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71362-1",374," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71362-1&ColorID=0","11","11","GBP 20.16","GBP 30.47","GBP 30.47","GBP 40.61"
"Desert Pokey - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71363-1",116," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71363-1&ColorID=0","12","25","GBP 8.27","GBP 12.41","GBP 12.86","GBP 15.11"
"Whomp's Lava Trouble - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71364-1",87," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71364-1&ColorID=0","12","15","GBP 7.98","GBP 11.59","GBP 11.02","GBP 20.29"
"Piranha Plant Power Slide - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71365-1",89," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71365-1&ColorID=0","5","7","GBP 13.33","GBP 17.47","GBP 17.31","GBP 19.84"
"Boomer Bill Barrage - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71366-1",77," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71366-1&ColorID=0","12","30","GBP 11.75","GBP 15.42","GBP 15.29","GBP 19.82"
"Mario's House & Yoshi - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71367-1",163," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71367-1&ColorID=0","11","24","GBP 8.68","GBP 13.11","GBP 12.67","GBP 16.67"
"Toad's Treasure Hunt - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71368-1",390," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71368-1&ColorID=0","9","14","GBP 24.16","GBP 27.54","GBP 29.75","GBP 33.75"
"Bowser's Castle Boss Battle - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71369-1",810," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71369-1&ColorID=0","5","5","GBP 64.88","GBP 76.18","GBP 76.18","GBP 89.27"
"Fire Mario - Power-Up Pack","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71370-1",11," Super Mario: Super Mario Power-Up Pack","http://www.bricklink.com/catalogPG.asp?S=71370-1&ColorID=0","28","85","GBP 16.81","GBP 27.87","GBP 27.55","GBP 54.22"
"Propeller Mario - Power-Up Pack","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71371-1",13," Super Mario: Super Mario Power-Up Pack","http://www.bricklink.com/catalogPG.asp?S=71371-1&ColorID=0","31","103","GBP 8.12","GBP 13.38","GBP 13.22","GBP 20.76"
"Cat Mario - Power-Up Pack","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71372-1",11," Super Mario: Super Mario Power-Up Pack","http://www.bricklink.com/catalogPG.asp?S=71372-1&ColorID=0","22","50","GBP 15.84","GBP 19.69","GBP 20.08","GBP 25.40"
"Builder Mario - Power-Up Pack","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71373-1",10," Super Mario: Super Mario Power-Up Pack","http://www.bricklink.com/catalogPG.asp?S=71373-1&ColorID=0","40","180","GBP 4.91","GBP 9.56","GBP 9.51","GBP 15.00"
"Nintendo Entertainment System","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71374-1",2645," Super Mario","http://www.bricklink.com/catalogPG.asp?S=71374-1&ColorID=0","83","91","GBP 82.77","GBP 183.18","GBP 183.30","GBP 231.78"
"Thwomp Drop - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71376-1",257," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71376-1&ColorID=0","1","1","GBP 28.43","GBP 28.43","GBP 28.43","GBP 28.43"
"King Boo and the Haunted Yard - Expansion Set","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=71377-1",288," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=71377-1&ColorID=0","6","6","GBP 34.44","GBP 37.85","GBP 37.85","GBP 44.38"
"Toad's Special Hideaway - Expansion Set - San Diego Comic-Con 2020 Exclusive","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=77907-1",107," Super Mario: Super Mario Expansion Set","http://www.bricklink.com/catalogPG.asp?S=77907-1&ColorID=0",NA,NA,NA,NA,NA,NA
"Paragoomba, Super Mario, Series 1 (Complete Set)","2020","Super Mario","https://www.bricklink.com/v2/catalog/catalogitem.page?S=char01-1",8," Super Mario: Super Mario Series 1","http://www.bricklink.com/catalogPG.asp?S=char01-1&ColorID=0",NA,NA,NA,NA,NA,NA
