"Name","year","category_name","Link","Pieces","Set","price_link","Times_Sold","Total_Qty","Min_Price","Avg_Price","Qty_Avg_Price","Max_Price"
"Batman","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4526-1",40," Super Heroes: Buildable Figures: Batman II","http://www.bricklink.com/catalogPG.asp?S=4526-1&ColorID=0","2","2","ROL 183.45","ROL 190.18","ROL 190.18","ROL 196.91"
"The Joker","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4527-1",57," Super Heroes: Buildable Figures: Batman II","http://www.bricklink.com/catalogPG.asp?S=4527-1&ColorID=0","5","7","ROL 124.42","ROL 135.27","ROL 132.17","ROL 156.31"
"Green Lantern","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4528-1",38," Super Heroes: Buildable Figures: (Other)","http://www.bricklink.com/catalogPG.asp?S=4528-1&ColorID=0","5","5","ROL 116.67","ROL 151.69","ROL 151.69","ROL 182.29"
"Iron Man","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4529-1",44," Super Heroes: Buildable Figures: Avengers","http://www.bricklink.com/catalogPG.asp?S=4529-1&ColorID=0","1","1","ROL 233.35","ROL 233.35","ROL 233.35","ROL 233.35"
"Iron Man","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=76165-1",480," Super Heroes: Sculptures: Avengers","http://www.bricklink.com/catalogPG.asp?S=76165-1&ColorID=0","40","52","ROL 447.65","ROL 589.75","ROL 574.64","ROL 719.86"
"The Hulk","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4530-1",39," Super Heroes: Buildable Figures: Avengers","http://www.bricklink.com/catalogPG.asp?S=4530-1&ColorID=0","2","2","ROL 87.06","ROL 157.12","ROL 157.12","ROL 227.19"
"Captain America","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4597-1",44," Super Heroes: Buildable Figures: Avengers","http://www.bricklink.com/catalogPG.asp?S=4597-1&ColorID=0","2","2","ROL 249.11","ROL 253.29","ROL 253.29","ROL 257.48"
"The Dynamic Duo Funhouse Escape","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=6857-1",358," Super Heroes: Batman II","http://www.bricklink.com/catalogPG.asp?S=6857-1&ColorID=0","18","21","ROL 220.82","ROL 378.30","ROL 385.09","ROL 547.33"
"Catwoman Catcycle City Chase","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=6858-1",72," Super Heroes: Batman II","http://www.bricklink.com/catalogPG.asp?S=6858-1&ColorID=0","25","43","ROL 61.19","ROL 97.14","ROL 89.38","ROL 143.71"
"The Batcave","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=6860-1",669," Super Heroes: Batman II","http://www.bricklink.com/catalogPG.asp?S=6860-1&ColorID=0","22","24","ROL 339.95","ROL 555.15","ROL 571.07","ROL 746.29"
"Superman vs. Power Armor Lex","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=6862-2",195," Super Heroes: Superman","http://www.bricklink.com/catalogPG.asp?S=6862-2&ColorID=0","20","33","ROL 122.72","ROL 168.07","ROL 173.31","ROL 256.78"
"Batwing Battle Over Gotham City","2012","Super Heroes","https://www.bricklink.com/v2/catalog/catalogitem.page?S=6863-1",265," Super Heroes: Batman II","http://www.bricklink.com/catalogPG.asp?S=6863-1&ColorID=0","17","19","ROL 155.84","ROL 236.15","ROL 246.65","ROL 348.19"
