"Name","year","category_name","Link","Pieces","Set","price_link","Times_Sold","Total_Qty","Min_Price","Avg_Price","Qty_Avg_Price","Max_Price"
"Gandalf Arrives","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9469-1",73," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9469-1&ColorID=0","28","31","EUR 27.33","EUR 98.01","EUR 95.08","EUR 149.00"
"Shelob Attacks","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9470-1",214," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9470-1&ColorID=0","23","49","EUR 34.28","EUR 116.31","EUR 107.82","EUR 175.00"
"Uruk-hai Army","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9471-1",229," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9471-1&ColorID=0","21","22","EUR 106.08","EUR 206.84","EUR 206.89","EUR 289.00"
"Attack on Weathertop","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9472-1",406," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9472-1&ColorID=0","20","21","EUR 25.17","EUR 215.69","EUR 206.62","EUR 359.00"
"The Mines of Moria","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9473-1",730," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9473-1&ColorID=0","16","17","EUR 256.20","EUR 307.43","EUR 305.57","EUR 402.31"
"The Battle of Helm's Deep","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9474-1",1332," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9474-1&ColorID=0","20","20","EUR 181.62","EUR 493.62","EUR 493.62","EUR 737.56"
"The Orc Forge","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9476-1",347," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9476-1&ColorID=0","21","21","EUR 186.55","EUR 216.28","EUR 216.28","EUR 320.00"
"Frodo with Cooking Corner polybag","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30210-1",29," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=30210-1&ColorID=0","55","103","EUR 2.40","EUR 17.80","EUR 14.84","EUR 34.26"
"Uruk-hai with Ballista polybag","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30211-1",16," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=30211-1&ColorID=0","36","67","EUR 15.69","EUR 24.23","EUR 23.98","EUR 33.25"
"Mirkwood Elf Guard polybag","2012","The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30212-1",22," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=30212-1&ColorID=0","32","97","EUR 22.00","EUR 32.08","EUR 27.70","EUR 70.00"
