"Name","year","category_name","Link","Pieces","Set","price_link","Times_Sold","Total_Qty","Min_Price","Avg_Price","Qty_Avg_Price","Max_Price"
"Lightsaber Duel","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=7101-1",42," Star Wars: Star Wars Episode 1","http://www.bricklink.com/catalogPG.asp?S=7101-1&ColorID=0","7","7","US $80.11","US $95.84","US $95.84","US $110.00"
"Landspeeder","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=7110-1",41," Star Wars: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=7110-1&ColorID=0","6","7","US $75.00","US $101.86","US $105.33","US $126.16"
"Droid Fighter","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=7111-1",62," Star Wars: Star Wars Episode 1","http://www.bricklink.com/catalogPG.asp?S=7111-1&ColorID=0","13","13","US $20.00","US $41.99","US $41.99","US $86.30"
"Naboo Swamp","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=7121-1",62," Star Wars: Star Wars Episode 1","http://www.bricklink.com/catalogPG.asp?S=7121-1&ColorID=0","9","9","US $65.00","US $86.28","US $86.28","US $111.61"
"Speeder Bikes","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=7128-1",81," Star Wars: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=7128-1&ColorID=0","16","16","US $15.00","US $80.80","US $80.80","US $121.40"
"Snowspeeder","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=7130-1",201," Star Wars: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=7130-1&ColorID=0","3","3","US $127.50","US $142.49","US $142.49","US $150.00"
"Snowspeeder","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75049-1",263," Star Wars: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=75049-1&ColorID=0","11","11","US $30.00","US $98.22","US $98.22","US $134.73"
"Snowspeeder","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75074-1",93," Star Wars: Microfighters Series 2: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=75074-1&ColorID=0","20","22","US $8.00","US $18.56","US $18.36","US $27.33"
"Snowspeeder","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75268-1",83," Star Wars: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=75268-1&ColorID=0","29","33","US $14.12","US $22.45","US $22.53","US $32.43"
"Anakin's Podracer","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=7131-1",115," Star Wars: Star Wars Episode 1","http://www.bricklink.com/catalogPG.asp?S=7131-1&ColorID=0","1","1","US $100.00","US $100.00","US $100.00","US $100.00"
"X-wing Fighter","1999","Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=6212-1",414," Star Wars: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=6212-1&ColorID=0","10","12","US $65.00","US $121.68","US $122.65","US $207.84"
