"category_name","Name","Link","Pieces","Set","year"
"Disney","Mickey's Fire Engine","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4164-1",26," Disney: Mickey Mouse","2000"
"Disney","Minnie's Birthday","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4165-1",83," Disney: Mickey Mouse","2000"
"Disney","Mickey's Car Garage","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4166-1",89," Disney: Mickey Mouse","2000"
"Disney","Mickey's Mansion","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4167-1",121," Disney: Mickey Mouse","2000"
"Disney","Mickey's Fishing Adventure","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4178-1",105," Disney: Mickey Mouse","2000"
"Disney","Mickey Mouse's Propeller Plane","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10772-1",56," Disney: Mickey and Friends","2021"
"Disney","Minnie Mouse's Ice Cream Shop","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10773-1",90," Disney: Mickey and Friends","2021"
"Disney","Mickey Mouse & Minnie Mouse's Space Rocket","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10774-1",81," Disney: Mickey and Friends","2021"
"Disney","Mickey Mouse & Donald Duck's Farm","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10775-1",111," Disney: Mickey and Friends","2021"
"Disney","Mickey & Friends Fire Truck & Station","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10776-1",134," Disney: Mickey and Friends","2021"
"Disney","Mickey and Minnie's Camping Trip","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10777-1",96," Disney: Mickey and Friends","2022"
"Disney","Mickey, Minnie and Goofy's Fairground Fun","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10778-1",173," Disney: Mickey and Friends","2022"
"Disney","Mickey and Friends Castle Defenders","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10780-1",198," Disney: Mickey and Friends","2022"
"Disney","Parts for Disney Princess: Build Your Own Adventure (included in Book 9780241318638, 9781465473684) polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=11916-1",79," Disney: Disney Princess: Cinderella","2018"
"Disney","Rapunzel's Market Visit polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30116-1",30," Disney: Disney Princess: Tangled","2014"
"Disney","Rapunzel's Boat polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30391-1",32," Disney: Disney Princess: Tangled","2021"
"Disney","Olaf's Summertime Fun polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30397-1",41," Disney: Disney Princess: Frozen","2016"
"Disney","Cinderella's Kitchen polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30551-1",33," Disney: Disney Princess: Cinderella","2017"
"Disney","Ariel's Underwater Symphony polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30552-1",46," Disney: Disney Princess: The Little Mermaid","2018"
"Disney","Elsa's Winter Throne polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30553-1",38," Disney: Disney Princess: Frozen: Frozen II","2019"
"Disney","Cinderella Mini Castle polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30554-1",39," Disney: Disney Princess: Cinderella","2020"
"Disney","Raya and the Ongi polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30558-1",45," Disney: Raya and the Last Dragon","2021"
"Disney","Elsa and Bruni’s Forest Camp polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30559-1",54," Disney: Disney Princess: Frozen","2022"
"Disney","Moana's Dolphin Cove polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30646-1",43," Disney: Disney Princess: Moana","2023"
"Disney","Asha's Welcome Booth polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30661-1",42," Disney: Wish","2024"
"Disney","Aurora's Forest Playground polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30671-1",56," Disney: Disney Princess: Sleeping Beauty","2024"
"Disney","Cinderella's Mini Garden Castle paper bag / polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=30695-1",48," Disney: Disney Princess: Cinderella","2025"
"Disney","Castle Interior Kit","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40307-1",115," Disney: Disney Princess: Supplemental","2018"
"Disney","Olaf's Traveling Sleigh","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40361-1",94," Disney: Disney Princess: Frozen: Frozen II","2019"
"Disney","Mini-Doll Dress-Up Kit","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40388-1",80," Disney: Disney Princess: Supplemental","2018"
"Disney","Mini Disney Castle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40478-1",564," Disney","2021"
"Disney","Mini Disney The Haunted Mansion","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40521-1",675," Disney","2022"
"Disney","Disney 100 Years Celebration","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40600-1",223," Disney: Disney 100","2023"
"Disney","Mini Disney Palace of Agrabah","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40613-1",506," Disney: Disney Princess: Aladdin","2023"
"Disney","Mini Steamboat Willie","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40659-1",420," Disney: Disney 100","2023"
"Disney","Mini Disney Ariel's Castle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40708-1",553," Disney: Disney Princess: The Little Mermaid","2024"
"Disney","Mini Disney Sleeping Beauty Castle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=40720-1",523," Disney","2024"
"Disney","Ariel's Amazing Treasures","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41050-1",73," Disney: Disney Princess: The Little Mermaid","2014"
"Disney","Merida's Highland Games","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41051-1",141," Disney: Disney Princess: Brave","2014"
"Disney","Ariel's Magical Kiss","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41052-1",241," Disney: Disney Princess: The Little Mermaid","2014"
"Disney","Cinderella's Dream Carriage","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41053-1",270," Disney: Disney Princess: Cinderella","2014"
"Disney","Rapunzel's Creativity Tower","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41054-1",287," Disney: Disney Princess: Tangled","2014"
"Disney","Cinderella's Romantic Castle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41055-1",638," Disney: Disney Princess: Cinderella","2014"
"Disney","Sleeping Beauty's Royal Bedroom","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41060-1",91," Disney: Disney Princess: Sleeping Beauty","2015"
"Disney","Jasmine's Exotic Palace","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41061-1",139," Disney: Disney Princess: Aladdin","2015"
"Disney","Elsa's Sparkling Ice Castle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41062-1",274," Disney: Disney Princess: Frozen","2015"
"Disney","Ariel's Undersea Palace","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41063-1",369," Disney: Disney Princess: The Little Mermaid","2015"
"Disney","Rapunzel's Best Day Ever","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41065-1",139," Disney: Disney Princess: Tangled","2016"
"Disney","Anna & Kristoff's Sleigh Adventure","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41066-1",165," Disney: Disney Princess: Frozen","2016"
"Disney","Belle's Enchanted Castle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41067-1",342," Disney: Disney Princess: Beauty and the Beast","2016"
"Disney","Arendelle Castle Celebration","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41068-1",453," Disney: Disney Princess: Frozen","2016"
"Disney","Treasure's Day at the Pool","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41069-1",70," Disney: Disney Princess: Whisker Haven Tales","2016"
"Disney","Daisy's Beauty Salon","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41140-1",98," Disney: Disney Princess: Whisker Haven Tales","2016"
"Disney","Pumpkin's Royal Carriage","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41141-1",79," Disney: Disney Princess: Whisker Haven Tales","2016"
"Disney","Palace Pets Royal Castle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41142-1",186," Disney: Disney Princess: Whisker Haven Tales","2016"
"Disney","Berry's Kitchen","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41143-1",61," Disney: Disney Princess: Whisker Haven Tales","2017"
"Disney","Petite's Royal Stable","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41144-1",75," Disney: Disney Princess: Whisker Haven Tales","2017"
"Disney","Ariel and the Magical Spell","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41145-1",214," Disney: Disney Princess: The Little Mermaid","2017"
"Disney","Cinderella's Enchanted Evening","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41146-1",341," Disney: Disney Princess: Cinderella","2017"
"Disney","Anna's Snow Adventure","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41147-1",148," Disney: Disney Princess: Frozen","2017"
"Disney","Elsa's Magical Ice Palace","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41148-1",676," Disney: Disney Princess: Frozen","2017"
"Disney","Moana's Island Adventure","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41149-1",200," Disney: Disney Princess: Moana","2017"
"Disney","Moana's Ocean Voyage","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41150-1",295," Disney: Disney Princess: Moana","2017"
"Disney","Mulan's Training Day","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41151-1",99," Disney: Disney Princess: Mulan","2018"
"Disney","Sleeping Beauty's Fairytale Castle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41152-1",311," Disney: Disney Princess: Sleeping Beauty","2018"
"Disney","Ariel's Royal Celebration Boat","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41153-1",371," Disney: Disney Princess: The Little Mermaid","2018"
"Disney","Cinderella's Dream Castle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=41154-1",577," Disney: Disney Princess: Cinderella","2018"
